UID	暱稱	加入時間	歷史暱稱
1938	巴迪森	1574690106	null
1939	巴哈丞相	1574690106	null
1940	熊虎晨	1574690124	null
1941	是在哈囉	1574690138	null
1942	系統管理員	1574690159	[{"Silverbullet":1574695751}]
1943	JuStApEnGuIn	1574690166	null
1944	這我婆	1574690221	[{"molin562389":1574692597}]
1945	lawrance666	1574690280	null
1946	Jaretore	1574690358	null
1947	スパイダーマン	1574690393	[{"LastLight":1574696948}]
1948	rayer123	1574690450	null
1949	radec8402	1574690467	[{"cader2048":1574920009}]
1950	koko	1574690474	null
1951	A885900	1574690491	null
1952	反正先隨便打個名字撐一下	1574690496	[{"Nightyoru123":1574767498},{"反正先隨便打個名字稱一下":1574785553}]
1953	ajinajin123	1574690537	null
1954	zero5853	1574690578	null
1955	bigfat6666	1574690618	null
1956	POLA	1574690626	[{"a2748770":1574692609}]
1957	悠悠嵐	1574690629	null
1958	linewan36549	1574690669	null
1959	你有聽過星爆嗎？	1574690675	null
1960	whatouo	1574690735	null
1961	习近平	1574690781	[{"你可以閉嘴嗎":1574692626},{"習進平":1574997231}]
1962	Shearforce2017	1574690785	null
1963	Apple	1574690799	null
1964	87elephant	1574690818	null
1965	希希希望	1574690849	[{"Xiwang":1574692592}]
1966	bk201李順生	1574690864	[{"anime820518":1574741106}]
1967	內湖熱狗鬼	1574690877	[{"PuosmoM":1574692604}]
1968	mina	1574690944	null
1969	yau	1574690961	null
1970	WGS	1574690984	null
1971	uwebuw	1574690993	null
1972	洨ㄐㄐ	1574691054	[{"audio789":1574736681}]
1973	Soe1210	1574691077	null
1974	吉娃娃外星狗	1574691103	null
1975	Reachlolz	1574691127	null
1976	萌心鬼	1574691160	[{"Lp33":1574692594},{"普女。":1574764262},{"lina":1575787720},{"肥宅王":1576515024},{"Yuri":1576689085},{"yoni":1576910004},{"29歲阿姨":1577860918},{"滿天星":1578493132},{"小野狗":1578743586}]
1977	gameguy	1574691172	null
1978	就愛吃米血	1574691199	null
1979	西班牙葡萄乾	1574691211	[{"futaba":1579150231},{"inori":1580376894}]
1980	黑心芭樂	1574691212	null
1981	小怪獸	1574691220	null
1982	ORa_ORa_	1574691263	null
1983	冠冠冠冠	1574691313	null
1984	殲世滅滅子	1574691386	[{"scarletray87":1574692611}]
1985	98700896	1574691415	null
1986	奈兔工造	1574691450	[{"writeton92":1574692620}]
1987	Sprang	1574691466	null
1988	BarJE	1574691507	null
1989	波波吉	1574691520	null
1990	ShLei1289	1574691530	null
1991	SatouShou	1574691534	[{"ps12345680":1574692636}]
1992	地方著名大雞雞	1574691577	null
1993	小章魚	1574691587	[{"zzxc753753":1574692616}]
1994	UBC	1574691645	[{"scarlet_sana":1574863286}]
1995	小花花	1574691648	null
1996	ning_2404	1574691713	null
1997	生魚片	1574691716	null
1998	馬英JOJO斯達	1574691726	[{"mainjojoestar":1574693673}]
1999	a76168610	1574691747	null
2000	烤冰塊	1574691755	null
2001	弱化的廢物	1574691759	null
2002	今晚吃月亮	1574691855	null
2003	a20876556	1574691869	null
2004	技希是我我是技希	1574691909	[{"zhengzc":1574692613}]
2005	zzzxxxccx	1574691939	null
2006	sunfish	1574691986	null
2007	混沌魔君索倫森	1574692001	[{"zzzxxxccc":1574692631}]
2008	叉燒貓燒包	1574692050	[{"Edogawa叉燒":1574777726}]
2009	軟軟爛爛	1574692068	[{"c39410128":1574736684}]
2010	TGBTGB	1574692094	[{"AKM":1577550076}]
2011	Aaron1234	1574692105	null
2012	Ursula	1574692147	null
2013	as31013101	1574692223	null
2014	無限幻想	1574692241	[{"a42003015":1576248583}]
2015	shinki	1574692284	[{"klj456852":1574692628}]
2016	ci13468zz	1574692299	null
2017	Eternalfire_1206	1574692331	[{"Oscarlam":1575132248}]
2018	克萊因是要榨了沒？	1574692336	null
2019	帽子給我好嗎	1574692354	null
2020	Centon	1574692378	null
2021	飛天熱狗卡拉雞腿堡	1574692385	null
2022	度ㄉㄌㄌ控	1574692418	null
2023	boss502566	1574692435	null
2024	phr	1574692477	null
2025	小川川	1574692516	null
2026	月星芸	1574692525	[{"FGC":1574693686}]
2027	wen258769	1574692600	null
2028	腳架ㄍ	1574692620	null
2029	s1258678	1574692634	null
2030	這女孩讓我雞雞很硬	1574692641	null
2031	嗨嗨你好	1574692643	null
2032	bawuducbak	1574692659	null
2033	asrieldashie	1574692676	null
2034	沒錢老爹	1574692712	null
2035	咕咕稽	1574692722	[{"ejieji74088":1574693681}]
2036	心之所向	1574692740	[{"1019520":1574695671}]
2037	w2513787	1574692768	null
2038	JACOB666	1574692792	null
2039	exp1200	1574692868	null
2040	音樂企鵝	1574692900	[{"mfc8763":1574693669},{"音樂狗企鵝":1592726819}]
2041	yangupozka	1574692920	null
2042	eric420	1574692921	null
2043	ruwest00	1574692935	null
2044	沒有人	1574692981	null
2045	暖暖阿金	1574692996	[{"corgi222777":1574693694},{"地獄狂犬三頭柯基":1574736616}]
2046	erw	1574693007	null
2047	君夜_	1574693050	[{"azs52673":1574695773}]
2048	loveru03	1574693070	null
2049	wuhonest	1574693085	null
2050	專業妹控魚	1574693109	[{"Fish_hiko":1574763542}]
2051	肥宅zz	1574693135	[{"agy586zz":1574693688}]
2052	WeberShao	1574693156	null
2053	不知取啥名	1574693169	[{"jay01085":1574843118}]
2054	buu	1574693187	null
2055	conicwao1221	1574693235	null
2056	改改改	1574693237	[{"asdasd94088":1574920039}]
2057	orz8787	1574693238	null
2058	糖果怪	1574693273	null
2059	郭郭鯊	1574693287	[{"bestwa2j":1574693683}]
2060	帥斃復仇者	1574693299	null
2061	扁奶惠	1574693310	null
2062	胖月半	1574693338	null
2063	喔齁齁	1574693363	null
2064	ZhaVaKa	1574693394	null
2065	不要問我	1574693406	null
2066	韓艾拉	1574693417	null
2067	水無月	1574693427	null
2068	煉獄Da	1574693440	null
2069	社經機器	1574693470	null
2070	跨下如關刀	1574693477	null
2071	瑟拉芬控	1574693535	[{"a4696514":1574693692}]
2072	Iroha	1574693567	null
2073	oboe	1574693581	null
2074	yves20716	1574693617	null
2075	MaDEO	1574693654	null
2076	Chang7733	1574693672	null
2077	a48284828	1574693675	null
2078	兩歲打手槍	1574693717	null
2079	Cheng	1574693788	[{"a1428596":1574745644}]
2080	水師提督常昆	1574693821	null
2081	玉子燒-瘋狂發春模式	1574693826	[{"玉子燒":1574695771}]
2082	祀墨丶	1574693869	null
2083	惑言piex	1574693908	[{"piex":1575038893}]
2084	野以野	1574693928	[{"sdwwet223":1574695669}]
2085	偉大航道的指南針	1574693928	null
2086	孤寂魯肥宅	1574693938	null
2087	siej5217	1574693968	null
2088	nightfighter	1574694006	null
2089	驅逐艦真是太棒了	1574694025	[{"zx5711473":1574695744}]
2090	s1030522	1574694028	null
2091	派大星寶寶拉	1574694031	[{"talos901105":1574695667}]
2092	斑點ᴴᴰ	1574694057	[{"leo57963":1574695746}]
2093	游泳池內褲	1574694061	[{"bitch0817":1574952189}]
2094	酠車車	1574694091	null
2095	陳博士	1574694099	[{"k9428678":1574695749}]
2096	統獨假議題政治好髒喔	1574694133	[{"UU48763":1574695768}]
2097	sysoр	1574694146	null
2098	bOwOb	1574694158	null
2099	Yes123	1574694179	null
2100	村風雪月	1574694180	null
2101	sys0p	1574694238	[{"🐔🐔硬":1574695757}]
2102	叭噗叭噗	1574694241	null
2103	benson910730	1574694296	null
2104	XD5487XD	1574694313	null
2105	拯救銀河系的怪獸	1574694351	[{"神奇小怪獸":1580236400},{"神奇小怪獸一防疫模式":1580432966},{"神奇小怪獸一Youtuber":1580904676},{"神奇小怪獸獸獸":1592491294},{"愛喝紅茶的小怪獸":1593326522}]
2106	這個我很可以	1574694422	[{"linchubinouo":1574695754}]
2107	草凡人	1574694585	null
2108	星爆熱狗司機	1574694610	null
2109	DreamMoon	1574694631	null
2110	懶懶的一天	1574694657	null
2111	昆吾塵	1574694704	[{"25236866":1574695761}]
2112	劫犽骨	1574694708	null
2113	黑葉X	1574694716	null
2114	肥村劍心	1574694752	[{"BUG":1574736746}]
2115	ㄌㄌㄎ聯邦	1574694803	[{"Aaaaooooaaaa":1575972383}]
2116	userdolphin	1574694807	null
2117	dechire	1574694809	null
2118	huang040913	1574694828	null
2119	春雪我老公	1574694837	[{"c8c8c8763":1574695759}]
2120	鬼之副長	1574694878	[{"竹筒飯":1574698765}]
2121	alqwer951	1574694889	null
2122	數字人	1574694928	[{"livingforest":1575022034}]
2123	59642327	1574694986	[{"zoojeff123":1574695764}]
2124	2124	1574695039	[{"777":1574695766}]
2125	藍沢はくや	1574695046	null
2126	胖胖虎	1574695051	null
2127	djrrh6466	1574695083	null
2128	c3311	1574695101	null
2129	Wxes10040808	1574695126	null
2130	姆蜜一雙藍黑狂暴巨雙炫劍擬招重砍一夏天仲玉模式	1574695168	[{"asd2573325":1574696563},{"姆咪姆咪姆咪咪":1583728239},{"肥姆咪":1584536541},{"大奶姆咪罐":1584875066},{"小奶♡姆咪":1585663665},{"踩死腳掌":1585752641},{"姆蜜汁好ㄏ":1586006724},{"相馬居高":1586399167},{"姆汁呼吸":1587163987},{"illusion":1592491292},{"姆咪姆咪姆咪咪":1593768375},{"姆明醬":1594477414},{"吉娃醬":1595088891}]
2131	亂吾室道	1574695188	null
2132	小x宇	1574695210	null
2133	窩是伊卡唷	1574695325	null
2134	PeiPei	1574695354	null
2135	majulung2005	1574695374	null
2136	Rabbit763	1574695382	null
2137	姆咪♥姆咪♥心動動	1574695426	null
2138	a40494434a	1574695437	null
2139	califragilisticexpialidocious	1574695533	null
2140	K29487	1574695550	null
2141	ㄩ圭魚	1574695595	[{"魚子魚圭":1574696556}]
2142	星爆終結者	1574695673	null
2143	怠惰不用錢	1574695703	[{"dog518818":1574739857},{"懶惰不用錢":1574997237}]
2144	37227810	1574695721	null
2145	潔潔o	1574695804	[{"gmps360":1577391106}]
2146	DazyBoy	1574695824	null
2147	MrEUX	1574695857	null
2148	萌萌虎班貓	1574695884	[{"沉月耀星":1574736598}]
2149	我想一下	1574695970	null
2150	Rheyal	1574695985	null
2151	weitory	1574695997	null
2152	Sonochinojojo	1574696022	null
2153	Hika	1574696033	null
2154	opgp	1574696034	null
2155	廢物敗類窩囊廢	1574696073	[{"raknza":1574696558}]
2156	啖餅太歲	1574696083	[{"玄楽_":1574740466}]
2157	Yoru	1574696153	null
2158	大道寺知世	1574696169	null
2159	yuran	1574696199	null
2160	不想贏就不要贏	1574696210	[{"asd3476652":1574697582}]
2161	trashkater	1574696227	null
2162	綠色鴨子	1574696246	null
2163	inazuma	1574696255	null
2164	阿拉瓜瓜	1574696301	[{"zxc4587601":1574696568}]
2165	打我啊笨蛋	1574696334	null
2166	GaryLiang	1574696352	null
2167	yin	1574696361	null
2168	吐司邊	1574696367	null
2169	green4coffee	1574696389	null
2170	哈哈哈是我啦	1574696403	null
2171	女子車欠	1574696454	null
2172	那你知道重點是什麼嗎	1574696475	null
2173	Matti	1574696523	null
2174	StarPoleNanaya	1574696524	null
2175	這是替身攻擊	1574696532	[{"joyverymuch":1574736804}]
2176	ghost19630	1574696548	null
2177	唯一支持陰囊臉肏番國共黨	1574696548	null
2178	地方的學生	1574696585	[{"MrHsu":1574699647}]
2179	洩殖腔都雜種	1574696594	[{"a23940402":1574698787}]
2180	taroLin	1574696596	null
2181	嘻嘻是我啦	1574696596	null
2182	ShiHu	1574696598	null
2183	裝甲卵子	1574696630	null
2184	sharzla	1574696641	null
2185	唯一支持陰囊臉肏翻國共黨	1574696643	null
2186	658	1574696658	null
2187	Katmenminzer	1574696678	null
2188	小麥提督	1574696686	null
2189	秋末ouo	1574696723	null
2190	Visecrow	1574696752	null
2191	御坂美琴的老公	1574696781	null
2192	ㄌㄌㄎ	1574696796	null
2193	Calculus	1574696807	null
2194	超市薯片半價啊	1574696814	null
2195	乖乖閉嘴	1574696840	[{"vegie10":1574697588}]
2196	我來看車圖	1574696843	null
2197	倒吃玉蜀黍	1574696870	null
2198	civet	1574696907	null
2199	夜魅嵐沁	1574696912	null
2200	宇宙怪獸吉娃娃	1574696956	null
2201	ltpg	1574696972	[{"lightpig":1574698778}]
2202	kuya841218	1574696977	null
2203	kotori	1574696992	null
2204	花花🌸	1574697122	null
2205	xibaichu587	1574697210	null
2206	夜神月	1574697211	null
2207	kevinlin50	1574697234	null
2208	8冰月8	1574697238	[{"david20571015":1580062314}]
2209	Reol	1574697252	null
2210	qoo811103	1574697270	null
2211	這就是…	1574697284	null
2212	24850918	1574697312	null
2213	臭屁忠	1574697313	null
2214	hanklich	1574697340	null
2215	zcx2655	1574697352	null
2216	yukari0517	1574697356	null
2217	大腸本眾	1574697360	[{"crafting157":1574812892}]
2218	edge	1574697370	null
2219	隨便玩玩	1574697383	null
2220	沙條愛歌	1574697384	[{"逍遙遊":1574699165},{"智慧貓咪":1589329204}]
2221	楓葉汁	1574697388	null
2222	ymps61113	1574697397	null
2223	OrlandoJen	1574697407	null
2224	ss6413ss	1574697412	null
2225	蘿蔓的莉薇亞	1574697419	[{"ppy77776":1574770886}]
2226	747474	1574697429	null
2227	alexandra1212	1574697469	null
2228	樂觀吉娃娃	1574697475	null
2229	明神宗	1574697480	[{"28104":1574896078}]
2230	ben	1574697482	null
2231	那你很他媽棒喔	1574697491	[{"moneytwo12":1574698760}]
2232	飛滾獸	1574697505	[{"z7913492":1574698769}]
2233	RSsean	1574697511	null
2234	FUCK0AFAPLE	1574697523	null
2235	waheroc89921	1574697526	null
2236	halloweenday8055	1574697543	null
2237	Inaba9768	1574697546	null
2238	Whiterzi	1574697555	null
2239	邊緣人關懷計畫專員	1574697574	[{"luke50374112":1574698772}]
2240	歐巴馬是誰啊	1574697597	null
2241	來一杯咖啡	1574697653	[{"Charlie6969":1574698767}]
2242	bui39520	1574697662	null
2243	Adult	1574697669	null
2244	reona1020	1574697677	null
2245	MoNo_GoKu	1574697677	null
2246	不上Caltech不改名	1574697691	null
2247	yoyo	1574697711	null
2248	ID懶的想-手遊鹹魚模式	1574697721	[{"ID懶的想":1574699155}]
2249	LYuzi	1574697721	null
2250	peiken	1574697723	null
2251	Gwawa	1574697726	null
2252	dcdc132	1574697746	null
2253	G8LA	1574697757	null
2254	傻屌胞弟	1574697770	[{"shadiaobaodi":1574698762}]
2255	大海滿是波浪	1574697774	null
2256	zyc4wsw	1574697780	null
2257	噗嚕噗嚕蹦	1574697814	null
2258	柳橙汁	1574697815	null
2259	jack5566bx	1574697845	null
2260	x6858168	1574697846	null
2261	dchou1015	1574697850	null
2262	coolcat2p	1574697863	null
2263	p_p	1574697871	null
2264	Sylviez	1574697879	null
2265	haohao	1574697886	null
2266	想想想	1574697908	[{"躺著也能升等":1574842061}]
2267	didi7002	1574697914	null
2268	Kinoko9006	1574697917	null
2269	Ragus982	1574697918	null
2270	chris6983420	1574697925	null
2271	cat0574	1574697926	null
2272	s23138152	1574697935	null
2273	Sumo0000	1574697936	null
2274	bhe05615	1574697955	null
2275	x3012199	1574697974	null
2276	Minato	1574697985	null
2277	ttikjgoj299	1574697992	null
2278	Bbb	1574697999	null
2279	a0031649752	1574698017	null
2280	tigershao	1574698048	null
2281	dddbo456	1574698049	null
2282	肥肥的企鵝	1574698054	[{"肥肥的花枝":1574700108}]
2283	RyanPatel	1574698063	null
2284	green91688	1574698068	null
2285	yukari05178	1574698074	null
2286	ed12312315	1574698087	null
2287	黑光D	1574698090	null
2288	烈日x	1574698091	null
2289	NaOe	1574698098	null
2290	Ronbig	1574698107	null
2291	neil930912	1574698149	null
2292	Latte20001018	1574698182	null
2293	beanfun23568	1574698193	null
2294	嘟嘟嘟嘟噠噠噠	1574698202	[{"weiweilin0825":1574698781}]
2295	uu63123	1574698206	null
2296	Akira1888	1574698209	null
2297	橘子味	1574698212	null
2298	xXxx9	1574698213	null
2299	lin40703	1574698226	null
2300	蘿莉就是正義	1574698239	[{"羅莉就是正義":1574698784}]
2301	Paul	1574698254	null
2302	☆教授★探耽求究	1574698267	[{"asd6858148":1574698795}]
2303	wiyu0628	1574698287	null
2304	zaq19128	1574698298	null
2305	天堂溜溜球	1574698340	null
2306	嘻嘻嘻嘻	1574698414	null
2307	薯條（塔諾系模式）	1574698426	null
2308	喇叭鎖	1574698432	[{"aszxer":1574858997}]
2309	erwin945	1574698445	null
2310	艾苡思	1574698454	[{"巧克力好吃":1577105870}]
2311	Sasha	1574698458	[{"Sasha":1577724699},{"阿姆塔特":1577728542}]
2312	吃土豆123	1574698462	null
2313	paralyzed	1574698493	null
2314	黑叔叔	1574698494	null
2315	Zacky0904	1574698496	null
2316	nana	1574698499	null
2317	小小哈	1574698515	null
2318	qqqa14	1574698519	null
2319	phantom520	1574698532	null
2320	VDog3370	1574698536	null
2321	魔法鱈魚	1574698538	null
2322	asdw451972	1574698539	null
2323	習包子大傻逼	1574698547	[{"踩到樂高":1574700222}]
2324	若葉柚希	1574698555	null
2325	Campcard	1574698575	null
2326	zaoni540	1574698604	null
2327	小吉a	1574698612	null
2328	szxc2001	1574698627	null
2329	cocj3sandy	1574698636	null
2330	場外最帥肥宅	1574698637	null
2331	Br35	1574698643	null
2332	steven0629	1574698659	null
2333	jeff044701	1574698672	null
2334	hanson0714	1574698685	null
2335	星嵐悠	1574698686	null
2336	Chygu	1574698695	null
2337	Thnfth	1574698697	null
2338	千錯萬錯都是你的錯	1574698719	null
2339	qwerty60807	1574698739	null
2340	ㄅㄅ獺葡萄	1574698785	null
2341	Henshin110840	1574698792	null
2342	LinHu	1574698802	[{"Maplelege":1579355096}]
2343	t356977r20	1574698815	null
2344	ArcherSA1124	1574698815	null
2345	a043sdfghjkl	1574698820	null
2346	naukri7707	1574698838	null
2347	sergio	1574698843	null
2348	donba1308	1574698864	null
2349	ejogije	1574698868	null
2350	zero09889	1574698877	null
2351	savior122969	1574698881	null
2352	឴᠌᠌឴᠌᠌	1574698883	[{"真是太棒ㄌ":1576600059},{"ㅤㅤㅤㅤ":1577072780}]
2353	Mcaaaa	1574698886	null
2354	NeAo	1574698887	null
2355	Spearforce92	1574698892	null
2356	夏日sky	1574698897	null
2357	Corn1102	1574698898	null
2358	sittlepss	1574698901	null
2359	溺死的海豚	1574698904	[{"ww693008":1574699162}]
2360	大麻汁120ml不加酒	1574698906	null
2361	小玉粉	1574698923	[{"wildass":1574699666},{"小玉粉":1574746079},{"小花粉":1574753169}]
2362	黑傑克	1574698935	[{"星爆薯條":1574736782}]
2363	qwsxc886	1574698936	null
2364	XDXD	1574698936	null
2365	kko951753	1574698944	null
2366	kyoipos	1574698947	null
2367	HeZhenWu	1574698957	null
2368	超神捲捲毛	1574698963	null
2369	Poison0321	1574698971	null
2370	青蛙呱呱	1574698980	null
2371	幻之翼	1574698987	null
2372	lch9047	1574698993	null
2373	a22208092	1574699007	null
2374	格鬥搖桿很貴	1574699012	[{"Spearforce9218":1574699638}]
2375	Kanda	1574699017	null
2376	毛子呦	1574699025	[{"ghost8797":1574699160}]
2377	真的不是我要說	1574699027	null
2378	夜響空	1574699029	null
2379	NoMokou	1574699038	null
2380	andy1002011	1574699042	null
2381	你不懂要先講	1574699049	null
2382	t47589651	1574699065	null
2383	DarJiBar	1574699068	null
2384	Ygo0612	1574699078	null
2385	FanTasy	1574699087	null
2386	PoliPoki	1574699106	null
2387	鯊魚餌	1574699131	null
2388	abc710077xyz	1574699142	null
2389	jacky	1574699158	null
2390	zxc79qaz	1574699191	null
2391	Chroma	1574699197	null
2392	aa334567890	1574699200	null
2393	brianhsuonly	1574699223	null
2394	qzwxas1234567	1574699225	null
2395	芙芙醬	1574699229	null
2396	fallsnow小翔	1574699235	[{"fallsnow_Yoho":1574699644}]
2397	cobras955	1574699252	null
2398	xzc159	1574699290	null
2399	87stars	1574699299	null
2400	羅賴靶	1574699322	null
2401	Draymei	1574699331	null
2402	發出理智的聲音	1574699332	[{"young8702":1590319490}]
2403	theway	1574699338	null
2404	汪汪吉	1574699347	[{"秒誤秒誤":1574700111}]
2405	linrick1205	1574699352	null
2406	kin133507286	1574699356	null
2407	kkk825	1574699366	null
2408	Teal	1574699372	null
2409	BSAWP	1574699375	null
2410	沼氣蹦	1574699379	null
2411	Geogal121	1574699383	null
2412	faint007	1574699391	null
2413	イリヤスフィール	1574699392	null
2414	造型真醜	1574699398	null
2415	我沒有妹妹	1574699400	[{"cs80103":1589117207}]
2416	Akizuki	1574699410	null
2417	cbcbcba	1574699410	null
2418	輔大憲哥	1574699423	null
2419	mika	1574699425	null
2420	Asuna	1574699431	null
2421	begame01	1574699448	null
2422	月來月奇怪	1574699453	null
2423	五十樓	1574699455	null
2424	a54732576	1574699456	null
2425	s010541	1574699458	null
2426	m9102913	1574699458	null
2427	asfdf951	1574699483	null
2428	z243051683	1574699493	null
2429	MOofnika	1574699503	null
2430	qwtuan77	1574699513	null
2431	香蕉好好吃	1574699518	null
2432	有夠油	1574699545	[{"有夠由":1574699650}]
2433	魂龍　	1574699552	[{"魂x龍":1574786420}]
2434	matt239768	1574699565	null
2435	Aftert_	1574699571	null
2436	熊性激素	1574699575	null
2437	噹噹噹	1574699580	null
2438	叭叭叭	1574699585	null
2439	Shub	1574699614	null
2440	台北李先生	1574699624	[{"你看我看沙小":1574736652},{"其他人沒是就你最機掰":1574785556}]
2441	zsefv333	1574699650	null
2442	s9559jimmy	1574699674	null
2443	RED_C	1574699712	null
2444	nick8973	1574699714	null
2445	寶島姑娘不意外	1574699733	null
2446	Allodoxa	1574699745	null
2447	ㄐㄐ大法師	1574699756	[{"肛門夾到魚":1588954284}]
2448	笨狗123	1574699764	null
2449	LouisWang6213	1574699765	null
2450	CAsetro	1574699786	null
2451	ethantaiwan	1574699795	null
2452	金色狂風	1574699796	null
2453	Z477424	1574699817	null
2454	alanpigpig0521	1574699820	null
2455	快狠準的30cm	1574699822	null
2456	夏帆💝	1574699827	[{"Kaho0812":1574736607}]
2457	Skult23	1574699868	null
2458	sawabs	1574699870	null
2459	裸足1	1574699880	[{"howardlee0408":1574736605}]
2460	尋找噴水水的真理	1574699887	null
2461	Keai	1574699899	null
2462	S0097	1574699904	null
2463	還是不要這樣好了	1574699919	[{"soul":1574812878},{"為什麼會變成這樣":1574997281}]
2464	ezqezb	1574699924	null
2465	NegaleAlice	1574699935	null
2466	Mr_harness	1574699938	null
2467	sononthe	1574699962	null
2468	ss9wvgg3	1574699963	null
2469	FireChocolate	1574699963	null
2470	ErusSerp	1574699988	null
2471	dexlansoprazole	1574699994	null
2472	Eltair	1574700018	null
2473	stevenjcgo	1574700019	null
2474	Twitch小夢	1574700042	null
2475	Ssssoda	1574700042	null
2476	BOSS	1574700042	null
2477	wtf	1574700056	null
2478	mnky0737	1574700060	null
2479	我不想說	1574700067	null
2480	8787	1574700081	null
2481	aria0205	1574700083	null
2482	okita0303	1574700084	null
2483	yuehtungweng	1574700097	null
2484	ZuDIr	1574700101	null
2485	氣噗噗先生	1574700112	[{"南部交通達人":1574736603}]
2486	DreamlandYa	1574700132	null
2487	我只是個普通人	1574700133	[{"tt345":1574700220}]
2488	查理維肯	1574700148	null
2489	Lunatic	1574700179	null
2490	mht41579bhu3	1574700183	null
2491	哈茲哦呼	1574700194	null
2492	kankan	1574700195	null
2493	light24680	1574700249	null
2494	藍藍der	1574700321	null
2495	呵呵呵	1574700354	null
2496	linbutters	1574700362	null
2497	ㄏㄏㄏ	1574700397	null
2498	zhps30149	1574700412	null
2499	BAMF69540	1574700425	null
2500	Alan	1574700448	null
2501	578964312	1574700471	null
2502	檜宮守繪華	1574700479	null
2503	zxc910238	1574700516	null
2504	rinnosora	1574700516	null
2505	專職跑龍套	1574700540	null
2506	qwerty	1574700545	null
2507	ab92311118	1574700583	null
2508	紅色懶決人	1574700594	[{"rageofvoice":1574736873}]
2509	阿法爾	1574700628	[{"gxwww":1574736600}]
2510	alan10283	1574700633	null
2511	qredc951	1574700645	null
2512	r33n87ew35	1574700680	null
2513	高盧人下面一大包	1574700697	[{"chin1206":1574736613}]
2514	st96122	1574700729	null
2515	cf77889	1574700737	null
2516	秋夢大叔	1574700774	null
2517	HUMA	1574700782	[{"tx1698tx":1574736638}]
2518	aabrother168	1574700798	null
2519	ww82541	1574700798	null
2520	聖結石我愛你	1574700800	[{"ieddiei":1574762334}]
2521	dda100005	1574700800	null
2522	asd654zxc321	1574700853	null
2523	沙金特	1574700890	[{"重組樂隊":1575986395}]
2524	榴槤大聖	1574700893	null
2525	教授NS	1574700927	null
2526	saki	1574700939	null
2527	神奇肥貓喵喵叫	1574701017	null
2528	卍玩命殺手卍	1574701053	[{"abc71421":1574736618}]
2529	試水溫	1574701060	null
2530	aroundight	1574701061	null
2531	草草草	1574701113	[{"kion":1574749990},{"・-・":1575690111},{"小草．-．":1580875496}]
2532	jumpjet023	1574701123	null
2533	Mamachi	1574701142	null
2534	Nima87BaoZi	1574701148	null
2535	チンチン	1574701175	null
2536	KUJIWA	1574701181	null
2537	YamiOdymel	1574701213	null
2538	星雲NS	1574701217	null
2539	sam0112	1574701219	null
2540	liuchihwei	1574701227	null
2541	YYpro	1574701240	null
2542	perhapz69	1574701283	null
2543	a142563	1574701286	null
2544	派大聲	1574701290	null
2545	奈米俠	1574701310	[{"qwerts5025":1574920051}]
2546	tea28579111	1574701314	null
2547	Tanaka	1574701315	null
2548	zzz1210	1574701323	null
2549	惠惠我婆	1574701330	null
2550	我是42	1574701354	null
2551	Toru1475	1574701383	null
2552	a73121522	1574701385	null
2553	抹茶泡芙	1574701415	null
2554	CA965428	1574701456	null
2555	Yaya	1574701476	null
2556	RockingBlue	1574701484	null
2557	言小晞	1574701486	null
2558	zzjhs	1574701497	null
2559	zxc5623123	1574701526	null
2560	s3459897	1574701542	null
2561	Joker	1574701547	null
2562	我大聖母藤原書記	1574701551	null
2563	bext1998	1574701552	null
2564	weiheyi	1574701585	null
2565	little_ara	1574701601	null
2566	小ㄐㄐ	1574701606	null
2567	maffc	1574701614	null
2568	腸腸大懶叫	1574701716	null
2569	你的簽名檔	1574701723	null
2570	好那掰掰	1574701748	[{"nogizaka46":1574736623}]
2571	gtb03035	1574701756	null
2572	AndyLi	1574701758	null
2573	zacctommy2	1574701788	null
2574	我不是故意	1574701805	null
2575	Kenlaien	1574701805	null
2576	sixx666	1574701828	null
2577	洨玥玥	1574701841	null
2578	不做人啦！	1574701845	null
2579	陽菜廚的捏米	1574701847	null
2580	Uta	1574701870	null
2581	Logic	1574701875	null
2582	灰狼我婆	1574701894	null
2583	天貞有鞋	1574701897	[{"grant01278":1574736629}]
2584	泥巴王	1574701930	null
2585	bittn80501	1574701932	null
2586	有禮貌的吉娃娃	1574701936	[{"j7550155":1574739609}]
2587	admin	1574701939	null
2588	花芊璘	1574701958	null
2589	happy33121	1574701960	null
2590	cdbgmj333	1574701968	null
2591	nice995	1574701996	null
2592	ZionXyZ	1574702013	null
2593	championlord	1574702039	null
2594	nerv	1574702045	null
2595	icedust	1574702046	null
2596	6655water	1574702054	null
2597	AMXptnx	1574702088	null
2598	Sirogamiyamiko	1574702103	null
2599	洨小A	1574702104	null
2600	james20236	1574702119	null
2601	蛤8763	1574702125	null
2602	雨蜘蛛	1574702127	null
2603	we1230332	1574702128	null
2604	zx831597	1574702158	null
2605	root	1574702159	null
2606	Daniel502119	1574702175	null
2607	s30385169	1574702177	null
2608	zxcv2312	1574702192	null
2609	Catwei	1574702201	null
2610	user	1574702209	null
2611	Cueinstein1113	1574702228	null
2612	zejuang222	1574702251	null
2613	路過的夜羽	1574702252	null
2614	qazxsw8624	1574702257	null
2615	暗黑使徒	1574702257	[{"ss30385169":1574769418}]
2616	ascii48763	1574702275	null
2617	中東踩地雷	1574702280	null
2618	Zerasity	1574702282	null
2619	Kater	1574702339	null
2620	ray	1574702342	null
2621	kyo1984	1574702363	null
2622	zico	1574702370	null
